"","status","taxon","pCARP","pMC3","pD3"
"Arctocebus calabarensis","Extant","Lorisoidea",19.1,23.7,57.2
"Loris tardigradus","Extant","Lorisoidea",19.5,24.6,55.9
"Nycticebus coucang","Extant","Lorisoidea",16.6,23.8,59.6
"Perodicticus potto","Extant","Lorisoidea",17.7,23.3,59.1
"Euoticus elegantulus","Extant","Lorisoidea",15.1,24.5,60.4
"Galago moholi","Extant","Lorisoidea",13.9,24.2,61.9
"Cheirogaleus major","Extant","Lemuroidea",16.2,27.2,56.4
"Microcebus murinus","Extant","Lemuroidea",14,27,59
"Phaner sp.","Extant","Lemuroidea",15.8,26.6,57.6
"Hapalemur griseus","Extant","Lemuroidea",15.5,28.2,56.3
"Lemur catta","Extant","Lemuroidea",16.1,29,54.9
"Lepilemur leucopus","Extant","Lemuroidea",12.9,27.7,59.4
"Varecia variegata","Extant","Lemuroidea",16.2,28.9,54.9
"Avahi laniger","Extant","Lemuroidea",10.8,31.8,57.4
"Propithecus verreauxi","Extant","Lemuroidea",12.5,30.7,56.8
"Indri indri","Extant","Lemuroidea",11.1,33.7,55.2
"D. madagascarensis","Extant","Lemuroidea",10.2,18.9,70.9
"Tarsius bancanus","Extant","Tarsius",9.4,27.5,63.1
"Alouatta sp.","Extant","Platyrrhini",15,28.2,56.8
"Aotus sp.","Extant","Platyrrhini",16.2,28.9,54.9
"Ateles sp.","Extant","Platyrrhini",13.1,33.9,53
"Brachyteles sp.","Extant","Platyrrhini",11.8,33.9,54.3
"Callicebus sp.","Extant","Platyrrhini",14.1,29.3,56.6
"Callithrix sp.","Extant","Platyrrhini",12.7,31.6,55.7
"Cebus sp.","Extant","Platyrrhini",16,30.5,53.5
"Chiropotes sp.","Extant","Platyrrhini",18.1,27.1,54.8
"Lagothrix sp.","Extant","Platyrrhini",15.6,28.3,56.1
"Leontopithecus sp.","Extant","Platyrrhini",12.9,33,54.1
"Saimiri sp.","Extant","Platyrrhini",14.9,30.9,54.2
"Cercopithecus sp.","Extant","Catarrhini",18.5,32.2,49.3
"Colobus sp.","Extant","Catarrhini",16.5,33.1,50.4
"Gorilla sp.","Extant","Catarrhini",16.2,34.1,49.7
"Homo sapiens","Extant","Catarrhini",18,32.9,49.1
"Hylobates sp.","Extant","Catarrhini",11.7,34.3,54
"Macaca sp.","Extant","Catarrhini",18.3,33.1,48.5
"Miopithecus sp.","Extant","Catarrhini",14.6,33,52.4
"Pan sp.","Extant","Catarrhini",13.6,35.9,50.5
"Papio sp.","Extant","Catarrhini",20.6,36.4,43
"Pongo sp.","Extant","Catarrhini",13,36,51
"Presbytis sp.","Extant","Catarrhini",15.4,33.5,51.1
"Rhinopithecus sp.","Extant","Catarrhini",17.6,33.5,48.9
"Semnopithecus sp.","Extant","Catarrhini",17.8,32.6,49.6
"Symphalangus sp.","Extant","Catarrhini",11.9,34.9,53.2
"Trachypithecus sp.","Extant","Catarrhini",15.9,32.1,52
"Ptilocercus lowii","Extant","Ptilocercus",15.6,32.4,52.1
"Tupaia glis","Extant","Tupaia",11.7,40.9,47.4
"Cynocephalus volans","Extant","Cynocephalus",9.3,32.3,58.4
"Nannodectes","Extinct","Fossil Primates",10.83,33.06,56.12
"Europolemur","Extinct","Fossil Primates",12,24.92,63.09
"Darwinius","Extinct","Fossil Primates",11.34,24.26,64.4
"Godinotia","Extinct","Fossil Primates",11.74,26.9,61.36
"Adapis","Extinct","Fossil Primates",15.55,29.12,55.35
"Leptadapis","Extinct","Fossil Primates",16.7,31.3,51.99
